,Seed,PopulationSize,TaskNumber,tSize,MutationProbability,Iterations,BestIndividual,BestIndividualScore
57,321,30,30,4,0.1,20,"[25  3 22 15 19  9 18 21 16 17 11  5 10 13  0 26  8 29  4 20  7  2 27  1
 24 12 28  6 23 14]",4443
58,321,30,30,6,0.1,20,"[11 17  3 28 25  4 15 21 13  8 16 12 18 26 20  9  5  0 29 22 27  2 19 10
  6  1 23  7 14 24]",7490
59,321,30,30,8,0.1,20,"[15  5 16 11 22 25 20 17 19 21  3  8 28  7 13 10 18 24 26  9  4  0 29  1
 27  2 12 14 23  6]",5381
60,321,30,30,10,0.1,20,"[22 11  0 15 17 16 10  3 18 19 21 25  8 13  2 26  5 29  9 28 20  6 24  4
 14 27 12  1 23  7]",3739
61,321,30,30,12,0.1,20,"[18  4  0 15 25  7 22 13  2  3  8 21 11 26 16 29 19  6 20  5 28 24 10  9
 27 17  1 12 23 14]",6068
62,321,30,30,14,0.1,20,"[ 3 10  4 17 11 25 22 19 15 16 13 21 26  8  9 29 18  0  2  7 20  5 27  6
 24 23 28 12  1 14]",4371
63,321,30,30,16,0.1,20,"[11 28 17 15 22 25 16 13 21 18  8  3  9  0 26 19 29 20  4  2  5  7  6 24
 10 23 27 12  1 14]",4115
64,321,30,30,18,0.1,20,"[11 22 15 17  9 10 25  7 18 13 21  8  0  4 19 26 16  5  3 29  6  2 24 20
 28 12 14  1 23 27]",4801
65,321,30,30,20,0.1,20,"[15 16 25 19 17 13 22  5 29 11  4 18  9 26  3 21 20  8  7  6 28  1  0  2
 24 10 27 14 23 12]",5442
66,321,30,30,22,0.1,20,"[15  2 11 22  3 18 16 19 21 25 13 29 17  7  8 24  5 27 26  9  4  0 20 23
 10 14 28  6  1 12]",5499
67,321,30,30,24,0.1,20,"[16 19 11 15  5 25 17  8  3 29 18 13 28 22  0 21 10 14 26  9  7  4  2 27
 20 24  6 23 12  1]",4546
68,321,30,30,26,0.1,20,"[15  9 17 16 25 19 11 22 13  8  0  2  3 21 26 18 29 28 10  5 14 24  7 20
  6 27  4 23  1 12]",3477
69,321,30,30,28,0.1,20,"[ 5 20 11 22 25  1 13 15  8 28 27 26  0 18  2 17  3  4 19 16 21  9 29 10
  7 23 24 14  6 12]",8952
70,1435,30,30,2,0.1,20,"[ 0 29 28 16 11 14 19 20 26 13 10 25 12 15  7  8  2  5 24  1 23 21 18  9
  3  4  6 27 17 22]",2070
71,1435,30,30,4,0.1,20,"[ 0 26 29 11 12 28 19  7 14 10 25 13 16 15  3 23 20 22  8 21 18  9 24  4
  5  2  6  1 27 17]",1461
72,1435,30,30,6,0.1,20,"[29  0 11 19 18 13 15 16 25  7 12  9 10 28 26 17 14  8 24 27  6 22  3  4
  5 20 21  1  2 23]",3230
73,1435,30,30,8,0.1,20,"[28  8  0 21 29 11 17 16 19  9 26 13 15 25 10 12 14 23 18  2 24 27 20  5
 22  4  1  6  7  3]",2695
74,1435,30,30,10,0.1,20,"[ 1 29 23 14 21  0  8 28 13 11 15 19 25 16 26  9 10 12  3 17 22  7  2 18
  4  5  6 20 27 24]",1948
75,1435,30,30,12,0.1,20,"[29 28  8  0 19 13 15 12 10 11 25 26 14  9  7 20  1  6  5 22 21  3 18  4
  2 23 27 24 16 17]",2150
76,1435,30,30,14,0.1,20,"[21 10 29  8 23 15 19 11  0 28 13 26  9 14 16  3 25  7 12 20 27  5 22  2
  4 17  6 24  1 18]",3145
77,1435,30,30,16,0.1,20,"[ 0 29 13 19 14 25 15 21 16  9 26 28 10 11  8  7 22  5 12  6 18  4  3 20
  2 27 23 17  1 24]",1942
78,1435,30,30,18,0.1,20,"[13 19 15 24  0 29  8 11 14 16 21 25 27 26 10 28  7 12 22 17  9 23  6  1
  3  4  5 20  2 18]",4045
79,1435,30,30,20,0.1,20,"[29 26  0 14 28  5  6 15 19  8 25 11 13 16 17 18 10 12  1  7  2 21 24 23
 22  9 20  4 27  3]",2948
80,1435,30,30,22,0.1,20,"[29  0 26  7 11  3 28  8 19 25 15  4  1  2 10 21 13 12 16 20 22 23 18 27
  9 14 24  5 17  6]",4549
81,1435,30,30,24,0.1,20,"[19  0 29 14 16 28 10 20 12 25 26 13  2 15  8 11  7 22  6  3 21  9 18  5
  4 23 17 27  1 24]",2377
82,1435,30,30,26,0.1,20,"[19 26  9  0 29 11  5 24 10  8 28 21 16  7 25 15 13 20 14 22  2 18 12  4
 27  3  6 23  1 17]",2788
83,1435,30,30,28,0.1,20,"[29 28 26  7  0 19 15 16 13  8  2 24 11 10 14  1  5 12 18  4  9 20 21 27
  3 22 17 23  6 25]",5889
